popular_albuns_rank,artist_band,decade,musical_genre,total_awards_nominations,uk number 1's,million_sales
688,jamie xx,10's,electronic,0,0,0
691,alcest,00's,rock,0,0,0
692,blondie,70's,rock,0,0,0
693,foo fighters,90's,rock,0,0,0
694,bad brains,80's,rock,0,0,0
695,t. rex,70's,rock,0,0,0
696,faust,70's,rock,0,0,0
698,xiu xiu,00's,electronic,0,0,0
700,alvvays,10's,pop,0,0,0
703,stereolab,90's,pop,0,0,0
704,sunny day real estate,90's,rock,0,0,0
708,d'angelo and the vanguard,10's,soul_funk,0,0,0
709,sza,10's,soul_funk,0,0,0
714,the postal service,00's,pop,0,0,0
717,ornette coleman,50's,jazz,0,0,0
718,john lennon,70's,rock,4,3,0
719,tears for fears,80's,rock,0,0,0
720,camel,70's,rock,0,0,0
723,2814,10's,electronic,0,0,0
726,the roots,90's,jazz,0,0,0
727,the magnetic fields,90's,pop,0,0,0
730,elvis costello,70's,rock,14,0,0
731,king krule,10's,rock,0,0,0
732,bright eyes,00's,folk,0,0,0
734,darkthrone,90's,metal,0,0,0
736,m.i.a.,00's,hip-hop,0,0,0
737,lingua ignota,10's,folk,0,0,0
738,nujabes,00's,jazz,0,0,0
739,prince,80's,rock,38,0,100
742,nick cave & the bad seeds,10's,rock,0,0,0
743,magdalena bay,10's,pop,0,0,0
744,grouper,00's,folk,0,0,0
745,a silver mt. zion,00's,rock,0,0,0
748,stan getz & joão gilberto featuring antônio carlos jobim,60's,jazz,0,0,0
749,pere ubu,70's,rock,0,0,0
750,sleep,00's,metal,0,0,0
751,jon hopkins,10's,electronic,0,0,0
755,giles corey,10's,rock,0,0,0
756,julia holter,10's,pop,0,0,0
758,青葉市子 [ichiko aoba],10's,folk,0,0,0
759,spellling,10's,pop,0,0,0
761,emperor,90's,metal,0,0,0
763,grizzly bear,00's,pop,0,0,0
764,ariel pink,10's,pop,0,0,0
767,japanese breakfast,10's,pop,0,0,0
773,the can,60's,rock,0,0,0
776,van halen,70's,rock,0,0,80
779,slipknot,90's,metal,0,0,0
786,taylor swift,10's,pop,0,0,200
789,motörhead,80's,rock,0,0,0
