artist_name,year,popularity,genre
natasha bedingfield,2008,62,pop
the offspring,2008,78,rock
kanye west,2007,47,hip-hop
estelle,2008,78,soul
saving abel,2008,69,rock
pendulum,2008,57,electronic
the game,2008,60,pop
danity kane,2008,57,pop
p!nk,2008,76,pop
kanye west,2008,66,hip-hop
gym class heroes,2008,54,pop
m.i.a.,2007,1,rock
3 doors down,2008,56,rock
kylie minogue,2007,47,pop
mariah carey,2008,0,pop
mgmt,2007,77,rock
the ting tings,2007,55,rock
lil wayne,2008,58,pop
santana,2007,57,rock
the-dream,2007,62,pop
wiley,2008,59,hip-hop
usher,2008,71,pop
sam sparro,2008,53,pop
"h ""two"" o",2008,55,electronic
the ting tings,2008,51,rock
plies,2008,61,pop
james morrison,2008,70,pop
leona lewis,2007,62,pop
metro station,2007,67,rock
t.i.,2008,74,pop
trey songz,2007,62,pop
onerepublic,2007,59,pop
alexandra burke,2009,63,pop
mary j. blige,2007,64,pop
jordin sparks,2007,56,pop
coldplay,2008,80,rock
kings of leon,2008,80,rock
kanye west,2007,45,hip-hop
duffy,2008,69,pop
david archuleta,2008,67,pop
j. holiday,2007,58,pop
gavin degraw,2008,51,pop
jordin sparks,2007,54,pop
coldplay,2008,63,rock
ray j,2008,1,pop
jennifer hudson,2008,60,pop
john legend,2008,55,pop
jonas brothers,2008,68,pop
lupe fiasco,2007,64,pop
chris brown,2008,74,pop
adele,2008,1,pop
leona lewis,2007,67,pop
fergie,2006,58,pop
t-pain,2008,0,pop
black eyed peas,2009,80,pop
lady gaga,2008,77,pop
beyoncé,2008,74,pop
david guetta,2010,75,pop
flo rida,2009,74,pop
taylor swift,2008,74,pop
pitbull,2009,63,pop
britney spears,2008,74,pop
lady gaga,2008,69,pop
skillet,2009,75,rock
the prodigy,2009,57,rock
black eyed peas,2009,72,pop
kanye west,2008,82,hip-hop
kid cudi,2009,72,hip-hop
lady gaga,2008,76,pop
britney spears,2008,69,pop
pitbull,2009,59,pop
mariah carey,2009,66,pop
beyoncé,2008,48,pop
agnes,2009,65,pop
black eyed peas,2009,68,pop
shakira,2009,68,pop
lady gaga,2008,70,pop
jay-z,2009,82,hip-hop
onerepublic,2009,65,pop
jeremih,2009,67,pop
cascada,2009,63,pop
linkin park,2009,68,rock
kevin rudolf,2008,66,pop
jay-z,2009,75,hip-hop
lady gaga,2009,80,pop
t.i.,2008,75,pop
eminem,2009,63,hip-hop
dizzee rascal,2011,38,pop
ciara,2009,58,pop
rihanna,2009,64,pop
soulja boy,2008,59,pop
the xx,2009,2,rock
jay sean,2009,3,pop
keri hilson,2008,41,pop
david guetta,2010,69,pop
cheryl,2009,65,pop
soulja boy,2008,76,pop
eminem,2009,70,hip-hop
p!nk,2010,46,pop
tinchy stryder,2009,59,pop
pixie lott,2009,54,pop
jls,2009,0,pop
3oh!3,2008,70,rock
pop,Pop,Pop,pop
the pussycat dolls,2008,64,pop
akon,2008,65,pop
alexandra burke,2009,57,pop
mario,2009,51,pop
drake,2009,73,pop
selena gomez & the scene,2009,63,pop
kanye west,2008,66,hip-hop
the veronicas,2005,58,pop
fabolous,2009,59,pop
jason derulo,2010,70,pop
lily allen,2009,54,pop
t.i.,2008,68,pop
